"","Datum","Wochentag","Feiertag"
"4250","2022-08-01",1,1
"4251","2022-08-02",2,0
"4252","2022-08-03",3,0
"4253","2022-08-04",4,0
"4254","2022-08-05",5,0
"4255","2022-08-06",6,0
"4256","2022-08-07",7,0
"4257","2022-08-08",1,0
"4258","2022-08-09",2,0
"4259","2022-08-10",3,0
"4260","2022-08-11",4,0
"4261","2022-08-12",5,0
"4262","2022-08-13",6,0
"4263","2022-08-14",7,0
"4264","2022-08-15",1,0
"4265","2022-08-16",2,0
"4266","2022-08-17",3,0
"4267","2022-08-18",4,0
"4268","2022-08-19",5,0
"4269","2022-08-20",6,0
"4270","2022-08-21",7,0
"4271","2022-08-22",1,0
"4272","2022-08-23",2,0
"4273","2022-08-24",3,0
"4274","2022-08-25",4,0
"4275","2022-08-26",5,0
"4276","2022-08-27",6,0
"4277","2022-08-28",7,0
"4278","2022-08-29",1,0
"4279","2022-08-30",2,0
"4280","2022-08-31",3,0
"4281","2022-09-01",4,0
"4282","2022-09-02",5,0
"4283","2022-09-03",6,0
"4284","2022-09-04",7,0
"4285","2022-09-05",1,0
"4286","2022-09-06",2,0
"4287","2022-09-07",3,0
"4288","2022-09-08",4,0
"4289","2022-09-09",5,0
"4290","2022-09-10",6,0
"4291","2022-09-11",7,0
"4292","2022-09-12",1,0
"4293","2022-09-13",2,0
"4294","2022-09-14",3,0
"4295","2022-09-15",4,0
"4296","2022-09-16",5,0
"4297","2022-09-17",6,0
"4298","2022-09-18",7,0
"4299","2022-09-19",1,0
"4300","2022-09-20",2,0
"4301","2022-09-21",3,0
"4302","2022-09-22",4,0
"4303","2022-09-23",5,0
"4304","2022-09-24",6,0
"4305","2022-09-25",7,0
"4306","2022-09-26",1,0
"4307","2022-09-27",2,0
"4308","2022-09-28",3,0
"4309","2022-09-29",4,0
"4310","2022-09-30",5,0
"4311","2022-10-01",6,0
"4312","2022-10-02",7,0
"4313","2022-10-03",1,0
"4314","2022-10-04",2,0
"4315","2022-10-05",3,0
"4316","2022-10-06",4,0
"4317","2022-10-07",5,0
"4318","2022-10-08",6,0
"4319","2022-10-09",7,0
"4320","2022-10-10",1,0
"4321","2022-10-11",2,0
"4322","2022-10-12",3,0
"4323","2022-10-13",4,0
"4324","2022-10-14",5,0
"4325","2022-10-15",6,0
"4326","2022-10-16",7,0
"4327","2022-10-17",1,0
"4328","2022-10-18",2,0
"4329","2022-10-19",3,0
"4330","2022-10-20",4,0
"4331","2022-10-21",5,0
"4332","2022-10-22",6,0
